nom,ancien_id,nouvel_id,statut
"Aaron Mooy","188297","","introuvable"
"Aaron Ramsdale","506220","","introuvable"
"Abdul Rahman Baba","234617","","introuvable"
"Abdulaziz Hatem","237879","","introuvable"
"Abdulelah Al-Malki","521756","","introuvable"
"Abdülkerim Bardakcı","623001","","introuvable"
"Achraf Hakimi","440655","","introuvable"
"Adam Hložek","852765","","introuvable"
"Adam Wharton","1226376","","introuvable"
"Adrien Rabiot","186994","","introuvable"
"Ahmed El-Shenawy","197041","","introuvable"
"Ahmed Hegazi","185236","","introuvable"
"Ahmed Ibrahim","385640","","introuvable"
"Aissa Laïdouni","547474","","introuvable"
"Aissa Mandi","214461","","introuvable"
"Ajdin Hrustic","453036","","introuvable"
"Akram Afif","363706","","introuvable"
"Alassane Plea","264826","","introuvable"
"Alejandro Balde","992276","","introuvable"
"Alejandro Garnacho","1147418","","introuvable"
"Alex Sandro","152396","","introuvable"
"Alex Telles","298920","","introuvable"
"Alexander Djiku","338764","","introuvable"
"Alexander Domínguez","167421","","introuvable"
"Alexander Sørloth","323100","","introuvable"
"Alexis Mac Allister","793341","","introuvable"
"Alexis Vega","528619","","introuvable"
"Ali Adnan","237460","","introuvable"
"Ali Al-Bulayhi","237898","","introuvable"
"Ali Gholizadeh","451044","","introuvable"
"Ali Jasim","553694","","introuvable"
"Ali Maaloul","250337","","introuvable"
"Alireza Beiranvand","307272","","introuvable"
"Alireza Jahanbakhsh","248580","","introuvable"
"Alisson","148169","","introuvable"
"Alistair Johnston","721946","","introuvable"
"Almoez Ali","527797","","introuvable"
"Alper Yıldız","711340","","introuvable"
"Alphonse Areola","98710","","introuvable"
"Alphonso Davies","539178","","introuvable"
"Álvaro Morata","138472","","introuvable"
"Amadou Onana","935498","","introuvable"
"Amer Shafi","261561","","introuvable"
"Amjed Attwan","589021","","introuvable"
"André Ayew","101441","","introuvable"
"Andreas Hanche-Olsen","619960","","introuvable"
"Andreas Pereira","312765","","introuvable"
"Andrej Kramarić","130428","","introuvable"
"Andrew Robertson","234663","","introuvable"
"Andy Delort","146839","","introuvable"
"Anel Ahmedhodžić","669009","","introuvable"
"Ángel Di María","67534","","introuvable"
"Ángel Mena","169861","","introuvable"
"Angus Gunn","312344","","introuvable"
"Ante Budimir","204938","","introuvable"
"Anthony Gordon","851132","","introuvable"
"Antoine Griezmann","86028","","introuvable"
"Antoine Semenyo","902175","","introuvable"
"Antonio Nusa","1220631","","introuvable"
"Antonio Rüdiger","188615","","introuvable"
"Antony Silva","133200","","introuvable"
"Arda Güler","987680","","introuvable"
"Arthur Masuaku","253897","","introuvable"
"Asmir Begović","68756","","introuvable"
"Atiba Hutchinson","102095","","introuvable"
"Aurélien Tchouaméni","936956","","introuvable"
"Axel Witsel","81681","","introuvable"
"Ayase Ueda","887593","","introuvable"
"Ayman Yahia","685000","","introuvable"
"Aymen Barkok","438988","","introuvable"
"Aymeric Laporte","193246","","introuvable"
"Ayrton Preciado","503965","","introuvable"
"Aziz Behich","210043","","introuvable"
"Azzedine Ounahi","895498","","introuvable"
"Baha' Faisal","412803","","introuvable"
"Bailey Wright","340218","","introuvable"
"Baris Alper Yılmaz","735624","","introuvable"
"Bart Verbruggen","945447","","introuvable"
"Bassam Al-Rawi","512403","","introuvable"
"Bechir Ben Saïd","249681","","introuvable"
"Ben Chilwell","361706","","introuvable"
"Benjamin Henrichs","473283","","introuvable"
"Benjamin Pavard","193509","","introuvable"
"Bernardo Silva","241237","","introuvable"
"Birger Meling","313741","","introuvable"
"Bobur Abdixoliqov","712342","","introuvable"
"Bongani Zungu","271982","","introuvable"
"Borna Sosa","505823","","introuvable"
"Bradley Barcola","1103796","","introuvable"
"Breel Embolo","282563","","introuvable"
"Brenden Aaronson","637908","","introuvable"
"Brian Brobbey","939706","","introuvable"
"Brian Rodríguez","762468","","introuvable"
"Brice Samba","187629","","introuvable"
"Bruno Fernandes","244723","","introuvable"
"Bruno Guimarães","500104","","introuvable"
"Bruno Petković","413574","","introuvable"
"Bryan Gil","859128","","introuvable"
"Bukayo Saka","853971","","introuvable"
"Byron Castillo","550977","","introuvable"
"Çağlar Söyüncü","516813","","introuvable"
"Callum McGregor","180736","","introuvable"
"Camilo Vargas","207698","","introuvable"
"Carlos Gruezo","231543","","introuvable"
"Casemiro","137612","","introuvable"
"Cédric Bakambu","205491","","introuvable"
"César Montes","511568","","introuvable"
"Chancel Mbemba","286504","","introuvable"
"Charlison Benschop","286571","","introuvable"
"Che Adams","349744","","introuvable"
"Cho Gue-sung","908461","","introuvable"
"Cho Hyun-woo","328396","","introuvable"
"Chris Führich","659006","","introuvable"
"Chris Wood","152961","","introuvable"
"Christian Pulisic","449149","","introuvable"
"Christoph Baumgartner","661004","","introuvable"
"Clayton Lewis","478321","","introuvable"
"Cody Gakpo","806521","","introuvable"
"Cole Palmer","1100716","","introuvable"
"Conor Gallagher","765625","","introuvable"
"Craig Goodwin","316576","","introuvable"
"Craig Gordon","36513","","introuvable"
"Cristian Romero","554341","","introuvable"
"Cristiano Ronaldo","8198","","introuvable"
"Cuco Martina","243985","","introuvable"
"Cyle Larin","381097","","introuvable"
"Daichi Kamada","553095","","introuvable"
"Daley Blind","95748","","introuvable"
"Dan Ndoye","811706","","introuvable"
"Dani Carvajal","138217","","introuvable"
"Dani Olmo","700024","","introuvable"
"Dani Vivian","892618","","introuvable"
"Daniel Amartey","235244","","introuvable"
"Daniel Muñoz","411428","","introuvable"
"Danilo","207668","","introuvable"
"Danilo Pereira","151807","","introuvable"
"Darwin Núñez","872662","","introuvable"
"David Alaba","68286","","introuvable"
"David Raum","757029","","introuvable"
"David Raya","335286","","introuvable"
