name,position,team,nationality,transfermarkt_value_m,sofascore_id,photo_url
Mike Maignan,GK,France,France,35.0,281054,
Brice Samba,GK,France,France,8.0,187629,
Alphonse Areola,GK,France,France,6.0,98710,
Benjamin Pavard,DEF,France,France,25.0,193509,
Dayot Upamecano,DEF,France,France,55.0,621616,
Ibrahima Konaté,DEF,France,France,60.0,734655,
Jules Koundé,DEF,France,France,65.0,617883,
Theo Hernandez,DEF,France,France,55.0,476985,
Lucas Hernandez,DEF,France,France,20.0,285440,
William Saliba,DEF,France,France,80.0,791027,
Aurélien Tchouaméni,MID,France,France,80.0,936956,
N'Golo Kanté,MID,France,France,15.0,129138,
Adrien Rabiot,MID,France,France,18.0,186994,
Matteo Guendouzi,MID,France,France,30.0,532504,
Eduardo Camavinga,MID,France,France,80.0,948376,
Warren Zaïre-Emery,MID,France,France,60.0,1210432,
Youssouf Fofana,MID,France,France,35.0,649843,
Kylian Mbappé,ATT,France,France,180.0,341832,
Antoine Griezmann,ATT,France,France,35.0,86028,
Ousmane Dembélé,ATT,France,France,60.0,415289,
Marcus Thuram,ATT,France,France,65.0,520878,
Bradley Barcola,ATT,France,France,60.0,1103796,
Randal Kolo Muani,ATT,France,France,40.0,948373,
Michael Olise,ATT,France,France,65.0,938227,
Kingsley Coman,ATT,France,France,25.0,243714,
Khephren Thuram,MID,France,France,40.0,942166,
Emiliano Martínez,GK,Argentine,Argentine,25.0,148455,
Gerónimo Rulli,GK,Argentine,Argentine,5.0,163560,
Nahuel Molina,DEF,Argentine,Argentine,30.0,553906,
Gonzalo Montiel,DEF,Argentine,Argentine,12.0,360958,
Cristian Romero,DEF,Argentine,Argentine,70.0,554341,
Lisandro Martínez,DEF,Argentine,Argentine,60.0,677560,
Nicolás Otamendi,DEF,Argentine,Argentine,8.0,68887,
Marcos Acuña,DEF,Argentine,Argentine,10.0,225078,
Nicolás Tagliafico,DEF,Argentine,Argentine,8.0,212632,
Rodrigo De Paul,MID,Argentine,Argentine,40.0,338779,
Leandro Paredes,MID,Argentine,Argentine,12.0,179538,
Enzo Fernández,MID,Argentine,Argentine,70.0,875880,
Alexis Mac Allister,MID,Argentine,Argentine,70.0,793341,
Giovani Lo Celso,MID,Argentine,Argentine,18.0,283523,
Exequiel Palacios,MID,Argentine,Argentine,25.0,576516,
Lionel Messi,ATT,Argentine,Argentine,15.0,41236,
Lautaro Martínez,ATT,Argentine,Argentine,100.0,579769,
Julián Álvarez,ATT,Argentine,Argentine,90.0,931178,
Ángel Di María,ATT,Argentine,Argentine,5.0,67534,
Alejandro Garnacho,ATT,Argentine,Argentine,65.0,1147418,
Paulo Dybala,ATT,Argentine,Argentine,20.0,137252,
Alisson,GK,Brésil,Brésil,25.0,148169,
Ederson,GK,Brésil,Brésil,28.0,416478,
Weverton,GK,Brésil,Brésil,5.0,135595,
Danilo,DEF,Brésil,Brésil,10.0,207668,
Éder Militão,DEF,Brésil,Brésil,60.0,617712,
Marquinhos,DEF,Brésil,Brésil,30.0,234646,
Gabriel Magalhães,DEF,Brésil,Brésil,60.0,548702,
Alex Sandro,DEF,Brésil,Brésil,5.0,152396,
Alex Telles,DEF,Brésil,Brésil,8.0,298920,
Casemiro,MID,Brésil,Brésil,20.0,137612,
Bruno Guimarães,MID,Brésil,Brésil,80.0,500104,
Lucas Paquetá,MID,Brésil,Brésil,65.0,510039,
Gerson,MID,Brésil,Brésil,25.0,233162,
Andreas Pereira,MID,Brésil,Brésil,18.0,312765,
Vinicius Junior,ATT,Brésil,Brésil,180.0,346101,
Rodrygo,ATT,Brésil,Brésil,80.0,622782,
Gabriel Martinelli,ATT,Brésil,Brésil,65.0,786026,
Richarlison,ATT,Brésil,Brésil,30.0,281990,
Gabriel Jesus,ATT,Brésil,Brésil,25.0,244898,
Endrick,ATT,Brésil,Brésil,60.0,1310371,
Jordan Pickford,GK,Angleterre,Angleterre,20.0,174820,
Aaron Ramsdale,GK,Angleterre,Angleterre,20.0,506220,
Dean Henderson,GK,Angleterre,Angleterre,12.0,384482,
Trent Alexander-Arnold,DEF,Angleterre,Angleterre,80.0,537898,
Reece James,DEF,Angleterre,Angleterre,50.0,660081,
John Stones,DEF,Angleterre,Angleterre,35.0,197665,
Harry Maguire,DEF,Angleterre,Angleterre,15.0,177907,
Marc Guehi,DEF,Angleterre,Angleterre,55.0,758677,
Luke Shaw,DEF,Angleterre,Angleterre,20.0,195735,
Ben Chilwell,DEF,Angleterre,Angleterre,20.0,361706,
Kieran Trippier,DEF,Angleterre,Angleterre,12.0,180684,
Declan Rice,MID,Angleterre,Angleterre,100.0,455097,
Jude Bellingham,MID,Angleterre,Angleterre,180.0,624916,
Phil Foden,MID,Angleterre,Angleterre,130.0,569537,
Conor Gallagher,MID,Angleterre,Angleterre,40.0,765625,
Kobbie Mainoo,MID,Angleterre,Angleterre,60.0,1300321,
Adam Wharton,MID,Angleterre,Angleterre,30.0,1226376,
Harry Kane,ATT,Angleterre,Angleterre,90.0,177282,
Bukayo Saka,ATT,Angleterre,Angleterre,150.0,853971,
Marcus Rashford,ATT,Angleterre,Angleterre,35.0,258923,
Cole Palmer,ATT,Angleterre,Angleterre,120.0,1100716,
Eberechi Eze,ATT,Angleterre,Angleterre,60.0,668353,
Anthony Gordon,ATT,Angleterre,Angleterre,55.0,851132,
Unai Simón,GK,Espagne,Espagne,28.0,415054,
David Raya,GK,Espagne,Espagne,25.0,335286,
Robert Sánchez,GK,Espagne,Espagne,18.0,720605,
Dani Carvajal,DEF,Espagne,Espagne,22.0,138217,
Alejandro Balde,DEF,Espagne,Espagne,60.0,992276,
Aymeric Laporte,DEF,Espagne,Espagne,20.0,193246,
Robin Le Normand,DEF,Espagne,Espagne,35.0,673367,
Pau Cubarsí,DEF,Espagne,Espagne,60.0,1401360,
Dani Vivian,DEF,Espagne,Espagne,25.0,892618,
Pedri,MID,Espagne,Espagne,150.0,768302,
Gavi,MID,Espagne,Espagne,90.0,947895,
Rodri,MID,Espagne,Espagne,120.0,663040,
Fabián Ruiz,MID,Espagne,Espagne,50.0,561677,
Mikel Merino,MID,Espagne,Espagne,40.0,395060,
Dani Olmo,MID,Espagne,Espagne,70.0,700024,
Lamine Yamal,ATT,Espagne,Espagne,250.0,1101648,
Nico Williams,ATT,Espagne,Espagne,100.0,1019889,
Álvaro Morata,ATT,Espagne,Espagne,20.0,138472,
Ferran Torres,ATT,Espagne,Espagne,35.0,656477,
Bryan Gil,ATT,Espagne,Espagne,25.0,859128,
Marc-André ter Stegen,GK,Allemagne,Allemagne,18.0,74842,
Oliver Baumann,GK,Allemagne,Allemagne,5.0,78488,
Joshua Kimmich,DEF,Allemagne,Allemagne,60.0,314887,
Antonio Rüdiger,DEF,Allemagne,Allemagne,20.0,188615,
